圧力,音・光・力,物体に加わる力の強さを面積で割ったものを何と言いますか？,摩擦力 重力 弾性力 空気抵抗 作用反作用 浮力 張力 遠心力 慣性力 引力
アルキメデス,音・光・力,浮力の法則を発見した古代ギリシャの学者は誰ですか？,ニュートン ガリレオ パスカル アンペール オーム ボイル フック アインシュタイン フレミング デカルト
アルミニウム,物質,とても軽くさびにくい銀白色の金属は何ですか？,鉄 銅 亜鉛 鉛 マグネシウム 金 銀 スズ ニッケル カルシウム
安山岩,火山,日本の火山に多く見られる中間的な性質の火成岩は何ですか？,玄武岩 花こう岩 斑れい岩 流紋岩 せん緑岩 火山灰 火山れき 石灰岩 チャート 砂岩
アンモニア,物質,刺激臭があり、水に非常によく溶けるアルカリ性の気体は何ですか？,塩化水素 酸素 二酸化炭素 窒素 水素 一酸化炭素 メタン オゾン ヘリウム フロン
維管束,植物,水や養分を運ぶために植物の中を通っている組織は何ですか？,道管 師管 根毛 柱頭 胞子 葉脈 胚珠 花粉 花弁 種子
上皿てんびん,物質,物体の重さをはかる実験器具は何ですか？,電子てんびん メスシリンダー ルーペ 顕微鏡 双眼実体顕微鏡 プレパラート ガスバーナー 気体検知管 ろ過 ポンプ
運搬,植物,植物が根から吸収した水や養分を葉まで届けるはたらきを何と言いますか？,蒸散 吸収 光合成 呼吸 同化 分解 移動 排出 伝導 成長
液状化,地震・地層,地震によって地盤が泥のようになる現象を何と言いますか？,断層 地割れ 津波 地すべり 地殻変動 隆起 陥没 液体化 活断層 地震波
液体,物質,水や油のように一定の体積をもつが形が変わる状態を何と言いますか？,固体 気体 蒸気 水 蒸発 融解 凝固 沸騰 凝縮 昇華
S波,地震・地層,地震で初めに来る波の次に到達する横波を何と言いますか？,P波 表面波 縦波 横波 余震 初期微動 主要動 地震波 地鳴り 活断層
塩化水素,物質,水に溶けると酸性になり、刺激臭のある気体は何ですか？,アンモニア 二酸化炭素 窒素 酸素 一酸化炭素 メタン 塩素 水素 オゾン ヘリウム
