亜鉛イオン,イオン,亜鉛が水に溶けてできる陽イオンの名前は何ですか？,銅イオン カルシウムイオン ナトリウムイオン 塩化物イオン アンモニウムイオン 硫酸イオン 水酸化物イオン 鉄イオン 鉛イオン マグネシウムイオン
アオコ,生物,湖や池で大量発生して水面が緑色になる現象は何ですか？,赤潮 プランクトン 浮遊植物 クロロフィル 緑藻類 コケ類 水草 赤血球 藻類 動物プランクトン
赤潮,生物,海で発生し魚が大量に死ぬ原因となるプランクトンの大量発生を何といいますか？,アオコ プランクトン 海藻 赤潮現象 有害プランクトン 魚群 海水藻類 変温動物 海洋汚染 海藻類
アルカリ,イオン,水溶液中で水素イオンを受け取る性質がある物質を何といいますか？,酸 塩基 酸性 水酸化物 水溶液 電解質 強酸 強塩基 中和反応 電気分解
アルカリマンガン乾電池,自然と科学技術,一般的に使われている乾電池の一種で、マンガンを使ったものは何と呼ばれますか？,リチウム電池 ニッケル水素電池 鉛蓄電池 燃料電池 二次電池 ボルタ電池 ボタン電池 蓄電池 水素電池 乾電池
α(アルファ)線,自然と科学技術,放射線の一種で、ヘリウムの原子核と同じ粒子が飛び出すものは何ですか？,β(ベータ)線 γ(ガンマ)線 中性子線 電磁波 光子線 電子線 陽子線 陰イオン線 イオン線 紫外線
アレニウス,自然と科学技術,化学反応の速度論を提唱し、活性化エネルギーの概念を説明した科学者は誰ですか？,ラボアジエ アボガドロ ベルゼリウス メンデレーエフ ボイル ケルビン ファラデー キルヒホッフ ニュートン ワット
アンモニウムイオン,イオン,アンモニアが水に溶けてできる陽イオンの名前は何ですか？,亜鉛イオン カルシウムイオン ナトリウムイオン 塩化物イオン 硫酸イオン 水酸化物イオン 鉄イオン 鉛イオン マグネシウムイオン 陰イオン
イオン,イオン,原子や分子が電気を帯びた粒子を何といいますか？,分子 原子 電子 中性子 陽子 イオン結合 金属結合 共有結合 電荷 原子核
イオン式,イオン,イオンを元素記号と電荷で表したものを何といいますか？,化学式 分子式 元素記号 原子式 電子式 電気式 イオン結合式 電気記号 化学記号 電気化学式
緯線,地球,地球の表面に引かれ、赤道と平行に走る線は何といいますか？,経線 地軸 赤道 子午線 北極線 南極線 時線 地平線 緯度線 経度線
位置エネルギー,運動とエネルギー,物体がその位置によって持つエネルギーを何といいますか？,運動エネルギー 熱エネルギー 電気エネルギー 化学エネルギー 音エネルギー 光エネルギー 内部エネルギー 弾性エネルギー 電磁エネルギー 核エネルギー
遺伝,生物,親から子へ形質が伝わることを何といいますか？,変異 進化 適応 交配 突然変異 自然選択 多様性 分離法 受精 染色体
遺伝子,生物,生物の形質を決める情報が書かれているDNAの部分を何といいますか？,染色体 RNA タンパク質 DNA 塩基対 核酸 mRNA クロマチン ゲノム エピジェネティクス
陰イオン,イオン,負の電荷を持つイオンを何といいますか？,陽イオン イオン式 イオン 水酸化物イオン カルシウムイオン アンモニウムイオン 硫酸イオン 鉄イオン ナトリウムイオン 塩素
いん石,地球,宇宙から地球に落ちてくる固体のかけらを何といいますか？,隕石 流星 流星群 流星体 彗星 隕鉄 火山岩 火山灰 火成岩 地層
ウラン,自然と科学技術,核分裂反応で燃料として使われる放射性元素は何ですか？,プルトニウム トリウム カリウム セシウム ラジウム 鉛 水素 炭素 酸素 窒素
運動エネルギー,運動とエネルギー,運動している物体が持つエネルギーを何といいますか？,位置エネルギー 熱エネルギー 電気エネルギー 光エネルギー 化学エネルギー 音エネルギー 核エネルギー 弾性エネルギー 内部エネルギー 運動量
運動の向き,運動とエネルギー,物体の運動が進んでいる方向を何といいますか？,運動の速さ 力の向き 速度の大きさ 加速度の向き 速度の向き 変位の向き 力の大きさ 速度ベクトル 力学的エネルギー 運動量
衛星,宇宙,地球のまわりを回っている人工物や自然の天体を何といいますか？,惑星 彗星 恒星 太陽系 惑星系 流星 衛星軌道 宇宙船 小惑星 流星体
栄養生殖,生物,植物が種子を使わずに増える方法を何といいますか？,有性生殖 受精 発芽 胞子 交配 多細胞生物 卵生 胞子生殖 無性生殖 遺伝
X(エックス)線,自然と科学技術,物質を透過して内部を調べることができる電磁波の一種は何ですか？,γ(ガンマ)線 赤外線 紫外線 可視光線 電波 マイクロ波 赤色光 緑色光 青色光 紫色光
エネルギー,自然と科学技術,物体が持つ仕事をする能力のことを何といいますか？,力 熱 電力 重さ 仕事 力学的エネルギー 熱量 質量 電気 エネルギー保存の法則
エネルギーの変換,自然と科学技術,エネルギーが一つの形から別の形に変わることを何といいますか？,エネルギー保存 エネルギー消費 熱伝導 電気分解 熱変換 力の伝達 運動変換 光合成 蒸発 凝縮
エネルギー保存の法則,自然と科学技術,エネルギーは形を変えてもその総量は変わらないという法則を何といいますか？,熱力学第二法則 質量保存の法則 運動の法則 ニュートンの法則 フックの法則 アルキメデスの原理 浮力の法則 重力の法則 電磁気の法則 慣性の法則
塩,イオン,陽イオンと陰イオンが結合してできる化合物を何といいますか？,酸 塩基 分子 イオン 水 電解質 酸化物 金属酸化物 有機化合物 無機化合物
塩化コバルト,自然と科学技術,水分の有無で色が変わる物質は何ですか？,塩化ナトリウム 塩化銅 塩化カルシウム 塩化マグネシウム 塩化カリウム 塩化鉄 塩化亜鉛 塩化銀 塩化水素 塩化リチウム
塩化銅,自然と科学技術,青緑色の結晶で電気分解に使われる物質は何ですか？,塩化コバルト 塩化ナトリウム 塩化カルシウム 塩化マグネシウム 塩化鉄 塩化亜鉛 塩化カリウム 塩化銀 塩化水素 塩化リチウム
塩化物イオン,イオン,塩化ナトリウムが水に溶けた時にできる陰イオンは何ですか？,水酸化物イオン 硫酸イオン アンモニウムイオン 硝酸イオン 炭酸イオン リン酸イオン 酢酸イオン 硝酸カリウム イオン式 イオン
オゾン層,地球,成層圏にあり紫外線を吸収して地球を守っている層は何ですか？,温室効果 大気圏 地球温暖化 酸素層 窒素層 大気汚染 二酸化炭素層 オゾンホール 地球磁場 紫外線
